#	NAME	P0	P1	DIST	ZZ	XX	YY	AGE	BSURF	EDOT
		(s)	(unit)	(kpc)	(kpc)	(kpc)	(kpc)	(Yr)	(G)	(ergs/s)
803	J1806+1023	0.48428646	5.73E-17	2.954	0.743	1.733	6.226	1.34E+08	1.68E+11	2.00E+31
804	J1811+0702	0.461712677	2.69E-15	2.965	0.622	1.651	6.117	2.72E+06	1.13E+12	1.10E+33
805	J1918-1052	0.798692542	8.65E-16	2.966	-0.564	1.287	5.888	1.46E+07	8.41E+11	6.70E+31
806	J1535-5848	0.307177663	2.72E-15	2.971	-0.125	-1.795	6.136	1.79E+06	9.24E+11	3.70E+33
807	J1443-5122	0.732061265	3.38E-16	2.979	0.4	-1.892	6.234	3.43E+07	5.03E+11	3.40E+31
808	J1454-5846	0.045248773	8.17E-19	2.985	0.02	-1.987	6.272	8.78E+08	6.15E+09	3.50E+32
809	J1544+4937	0.002159288	2.93E-21	2.991	2.297	1.882	8.14	1.17E+10	8.05E+07	1.20E+34
810	J1913+0904	0.163245786	1.76E-14	2.997	-0.036	2.063	6.326	1.47E+05	1.72E+12	1.60E+35
811	B2053+21	0.815181103	1.34E-15	2.998	-0.759	2.686	7.406	9.64E+06	1.06E+12	9.80E+31
812	B1323-58	0.477993613	3.24E-15	3	0.187	-2.375	6.677	2.34E+06	1.26E+12	1.20E+33
813	J1807-2459B	0.004186177	8.23E-20	3	-0.115	0.305	5.518	8.06E+08	5.94E+08	4.40E+34
814	B1951+32	0.039531193	5.84E-15	3	0.148	2.793	7.415	1.07E+05	4.86E+11	3.70E+36
815	J2229+6114	0.051623574	7.83E-14	3	0.154	2.87	9.358	1.05E+04	2.03E+12	2.20E+37
816	B2255+58	0.368246454	5.75E-15	3	-0.03	2.839	9.468	1.01E+06	1.47E+12	4.50E+33
817	J1049-5833	2.202325077	4.41E-15	3.004	0.034	-2.863	7.59	7.91E+06	3.15E+12	1.60E+31
818	B1030-58	0.464212627	1.80E-15	3.005	-0.053	-2.889	7.676	4.09E+06	9.24E+11	7.10E+32
819	B1804-12	0.522618386	1.41E-15	3.005	0.231	0.883	5.637	5.88E+06	8.68E+11	3.90E+32
820	B1758-29	1.081910498	3.29E-15	3.013	-0.171	0.075	5.493	5.21E+06	1.91E+12	1.00E+32
821	B2227+61	0.443054561	2.26E-15	3.014	0.192	2.874	9.387	3.11E+06	1.01E+12	1.00E+33
822	J1752+2359	0.409050865	6.43E-16	3.03	1.188	2.107	6.675	1.01E+07	5.19E+11	3.70E+32
823	J2208+5500	0.933162514	6.99E-15	3.03	-0.04	2.975	9.075	2.12E+06	2.58E+12	3.40E+32
824	J0901-4624	0.441995131	8.75E-14	3.032	0	-3.029	8.637	8.00E+04	6.29E+12	4.00E+34
825	J1549+2113	1.262471312	8.54E-16	3.033	2.293	1.128	6.867	2.34E+07	1.05E+12	1.70E+31
826	J1641+8049	0.002021179	8.95E-21	3.035	1.598	2.36	9.543	3.58E+09	1.36E+08	4.30E+34
827	J1237-6725	2.110974118	2.19E-15	3.036	-0.243	-2.578	6.915	1.53E+07	2.18E+12	9.20E+30
828	B1409-62	0.394945791	7.43E-15	3.037	-0.091	-2.254	6.467	8.42E+05	1.73E+12	4.80E+33
829	J2007+0809	0.325724366	1.37E-16	3.04	-0.673	2.244	6.562	3.77E+07	2.14E+11	1.60E+32
830	J1618-4624	0.005931367	3.10E-21	3.045	0.148	-1.246	5.726	3.03E+10	1.37E+08	5.90E+32
831	J1537-5312	0.006927096	1.59E-20	3.054	0.103	-1.691	5.959	6.92E+09	3.35E+08	1.90E+33
832	J1043-6116	0.288605287	1.04E-14	3.055	-0.112	-2.9	7.545	4.39E+05	1.75E+12	1.70E+34
833	J0737-2202	0.32036637	5.47E-15	3.06	-0.017	-2.586	10.136	9.28E+05	1.34E+12	6.60E+33
834	J1552-4937	0.006284311	1.90E-20	3.06	0.18	-1.512	5.845	5.24E+09	3.50E+08	3.00E+33
835	J0137+1654	0.414763027	1.22E-17	3.061	-2.148	1.446	10.132	5.37E+08	7.21E+10	6.80E+30
836	J1056-5709	0.676081894	5.76E-16	3.062	0.123	-2.912	7.563	1.86E+07	6.31E+11	7.40E+31
837	J0106+4855	0.083157305	4.28E-16	3.063	-0.734	2.422	10.225	3.08E+06	1.91E+11	2.90E+34
838	J1741-2733	0.89295867	1.48E-16	3.073	0.085	0.034	5.428	9.59E+07	3.67E+11	8.20E+30
839	J1739-3023	0.114371728	1.14E-14	3.074	0.018	-0.103	5.428	1.59E+05	1.16E+12	3.00E+35
840	B1841-04	0.991026616	3.91E-15	3.074	-0.029	1.448	5.788	4.01E+06	1.99E+12	1.60E+32
841	J1554-5209	0.125229558	2.29E-15	3.079	0.064	-1.585	5.861	8.65E+05	5.42E+11	4.60E+34
842	J1928+1443	1.010738953	2.10E-16	3.079	-0.066	2.364	6.529	7.63E+07	4.66E+11	8.00E+30
843	J1618-4723	0.203552878	1.99E-15	3.089	0.118	-1.303	5.702	1.62E+06	6.44E+11	9.30E+33
844	J1906+0509	0.397589683	5.22E-15	3.091	-0.058	1.957	6.108	1.21E+06	1.46E+12	3.30E+33
845	J1759-5505	0.373392126	4.39E-16	3.096	-0.804	-1.11	5.724	1.35E+07	4.10E+11	3.30E+32
846	J1824-0132	0.22372852	2.82E-17	3.096	0.28	1.472	5.791	1.26E+08	8.04E+10	9.90E+31
847	J1357-6429	0.166108328	3.60E-13	3.1	-0.136	-2.375	6.512	7.31E+03	7.83E+12	3.10E+36
848	B1925+188	0.298313497	2.24E-15	3.1	0.051	2.502	6.67	2.11E+06	8.28E+11	3.30E+33
849	B0840-48	0.64435362	9.56E-15	3.103	-0.222	-3.091	8.652	1.07E+06	2.51E+12	1.40E+33
850	J1759-3107	1.078954947	3.77E-15	3.105	-0.199	-0.02	5.401	4.53E+06	2.04E+12	1.20E+32
851	J2115+5448	0.002602877	7.49E-20	3.106	0.223	3.086	8.772	5.51E+08	4.47E+08	1.70E+35
852	J1603-5312	0.839220813	4.96E-14	3.113	-0.029	-1.584	5.821	2.68E+05	6.53E+12	3.30E+33
853	B1754-24	0.234105791	1.30E-14	3.124	0.003	0.288	5.389	2.85E+05	1.77E+12	4.00E+34
854	B0626+24	0.476622836	2.00E-15	3.125	0.339	-0.476	11.57	3.78E+06	9.87E+11	7.30E+32
855	B1935+25	0.200980202	6.43E-16	3.125	0.124	2.727	6.978	4.95E+06	3.64E+11	3.10E+33
856	B1943-29	0.959447932	1.49E-15	3.125	-1.277	0.549	5.701	1.02E+07	1.21E+12	6.70E+31
857	J2217+5733	1.056844369	6.47E-16	3.129	0.033	3.043	9.229	2.59E+07	8.37E+11	2.20E+31
858	J1816-0755	0.217642691	6.48E-15	3.131	0.223	1.163	5.602	5.32E+05	1.20E+12	2.50E+34
859	J1525-5523	0.355156037	8.96E-18	3.132	0.063	-1.856	5.978	6.28E+08	5.71E+10	7.90E+30
860	J1525-5545	0.011359882	1.31E-19	3.139	0.047	-1.87	5.979	1.37E+09	1.24E+09	3.50E+33
861	B1911+11	0.600997496	6.56E-16	3.14	0.011	2.244	6.304	1.45E+07	6.35E+11	1.20E+32
862	J1725-3853	0.004791823	5.00E-20	3.142	-0.102	-0.579	5.414	1.52E+09	4.95E+08	1.80E+34
863	J2215+1538	0.374195893	2.37E-15	3.142	-1.708	2.567	7.897	2.50E+06	9.52E+11	1.80E+33
864	J1052-5954	0.180591501	2.00E-14	3.143	-0.022	-2.98	7.5	1.43E+05	1.92E+12	1.30E+35
865	J1013-5934	0.442900936	5.56E-16	3.144	-0.142	-3.046	7.733	1.26E+07	5.02E+11	2.50E+32
866	J1837-0045	0.617036696	1.68E-15	3.145	0.151	1.603	5.798	5.80E+06	1.03E+12	2.80E+32
867	B1828-11	0.405073135	5.99E-14	3.147	-0.026	1.118	5.558	1.07E+05	4.99E+12	3.60E+34
868	J1848-1243	0.414383354	4.41E-16	3.149	-0.279	1.135	5.576	1.49E+07	4.32E+11	2.40E+32
869	J0218+4232	0.002323091	7.74E-20	3.15	-0.949	1.95	10.784	4.76E+08	4.29E+08	2.40E+35
870	B1730-37	0.337595	1.50E-14	3.15	-0.126	-0.461	5.386	3.56E+05	2.28E+12	1.50E+34
871	J1712-2715	0.25535966	1.28E-15	3.151	0.388	-0.146	5.376	3.16E+06	5.78E+11	3.00E+33
872	J1813-2621	0.004430012	1.25E-20	3.159	-0.227	0.292	5.363	5.63E+09	2.38E+08	5.70E+33
873	J1835-1106	0.165917635	2.06E-14	3.159	-0.083	1.143	5.556	1.28E+05	1.87E+12	1.80E+35
874	B2303+46	1.066371072	5.69E-16	3.159	-0.658	2.985	9.296	2.97E+07	7.88E+11	1.90E+31
875	J1821-0256	0.41411105	3.72E-17	3.16	0.296	1.42	5.693	1.76E+08	1.26E+11	2.10E+31
876	J1016-5857	0.107386458	8.08E-14	3.163	-0.104	-3.066	7.731	2.10E+04	2.98E+12	2.60E+36
877	B1942-00	1.045632445	5.35E-16	3.164	-0.675	1.927	6.083	3.10E+07	7.57E+11	1.80E+31
878	J2302+6028	1.206404288	2.04E-15	3.166	0.022	2.978	9.576	9.37E+06	1.59E+12	4.60E+31
879	B1700-32	1.211785095	6.60E-16	3.167	0.297	-0.45	5.379	2.91E+07	9.05E+11	1.50E+31
880	J1002-5919	0.713489254	1.04E-16	3.171	-0.178	-3.087	7.797	1.09E+08	2.76E+11	1.10E+31
881	J1538-5438	0.276726137	1.42E-15	3.179	0.038	-1.794	5.876	3.08E+06	6.35E+11	2.70E+33
882	B1011-58	0.819926245	1.78E-14	3.185	-0.119	-3.092	7.746	7.30E+05	3.87E+12	1.30E+33
883	J1624+5850	0.651800819	3.31E-16	3.187	2.124	2.376	8.467	3.12E+07	4.70E+11	4.70E+31
884	B1611-55	0.791525716	2.00E-15	3.192	-0.193	-1.639	5.768	6.27E+06	1.27E+12	1.60E+32
885	J2204+2700	0.084702615	1.31E-19	3.196	-1.231	2.928	8.141	1.03E+10	3.37E+09	8.50E+30
886	J0205+6449	0.065715928	1.94E-13	3.2	0.172	2.422	10.585	5.37E+03	3.61E+12	2.70E+37
887	J1836-2354A	0.003354336	2.32E-21	3.2	-0.421	0.545	5.375	2.29E+10	8.92E+07	2.40E+33
888	J2129-5721	0.003726348	2.09E-20	3.2	-2.206	-0.868	6.35	2.83E+09	2.82E+08	1.60E+34
889	J1434-5943	1.072121212	2.96E-17	3.212	0.032	-2.245	6.203	5.74E+08	1.80E+11	9.50E+29
890	B1600-49	0.327418522	1.02E-15	3.225	0.137	-1.505	5.651	5.09E+06	5.84E+11	1.10E+33
891	B1540-06	0.70906407	8.80E-16	3.226	1.924	0.026	5.911	1.28E+07	7.99E+11	9.70E+31
892	B2044+15	1.138285683	1.82E-16	3.226	-0.934	2.703	7.008	9.89E+07	4.61E+11	4.90E+30
893	B1859+01	0.288219159	2.36E-15	3.229	-0.077	1.889	5.882	1.94E+06	8.34E+11	3.90E+33
894	J2036+6646	0.501927178	9.40E-16	3.23	0.85	3.054	9.118	8.46E+06	6.95E+11	2.90E+32
895	J1753-2240	0.095137809	9.70E-19	3.232	0.094	0.354	5.289	1.55E+09	9.72E+09	4.40E+31
896	J1837-1837	0.618357697	5.50E-15	3.232	-0.31	0.822	5.39	1.78E+06	1.87E+12	9.20E+32
897	J1826-1419	0.770620171	8.78E-15	3.243	-0.065	0.97	5.406	1.39E+06	2.63E+12	7.60E+32
898	B1607-13	1.018392746	2.30E-16	3.247	1.472	-0.029	5.606	7.02E+07	4.90E+11	8.60E+30
899	B1756-22	0.460981536	1.09E-14	3.256	0.046	0.423	5.272	6.73E+05	2.26E+12	4.40E+33
900	J0610-2100	0.003861325	1.24E-20	3.259	-1.017	-2.292	10.582	4.95E+09	2.21E+08	8.50E+33
901	J1937+1658	0.003957668	1.32E-20	3.259	-0.119	2.609	6.551	4.75E+09	2.31E+08	8.40E+33
902	B1819-22	1.874268518	1.35E-15	3.26	-0.249	0.528	5.293	2.19E+07	1.61E+12	8.10E+30
903	J1809-1917	0.08275527	2.55E-14	3.268	0.005	0.629	5.293	5.14E+04	1.47E+12	1.80E+36
904	J1930+2441	0.005767407	8.65E-21	3.268	0.171	2.804	6.83	1.06E+10	2.26E+08	1.80E+33
905	J1943+0609	0.446226282	4.66E-16	3.269	-0.491	2.264	6.193	1.52E+07	4.61E+11	2.10E+32
906	J1002-5559	0.777500907	1.57E-15	3.27	-0.029	-3.211	7.882	7.84E+06	1.12E+12	1.30E+32
907	J1215-5328	0.636414137	1.15E-16	3.275	0.513	-2.87	7.008	8.77E+07	2.74E+11	1.80E+31
908	J1020-6026	0.14048129	6.74E-15	3.277	-0.163	-3.157	7.636	3.30E+05	9.85E+11	9.60E+34
909	J1749-5417	0.307576752	1.50E-16	3.279	-0.761	-1.181	5.537	3.26E+07	2.17E+11	2.00E+32
910	J1758+3030	0.947255811	7.20E-16	3.279	1.335	2.49	6.837	2.08E+07	8.36E+11	3.30E+31
911	B1919+20	0.760681389	5.00E-17	3.292	0.151	2.666	6.575	2.41E+08	1.97E+11	4.50E+30
912	B1853+01	0.26743961	2.08E-13	3.3	-0.029	1.872	5.782	2.03E+04	7.55E+12	4.30E+35
913	B1900+01	0.729306961	4.03E-15	3.3	-0.113	1.926	5.823	2.87E+06	1.73E+12	4.10E+32
914	J2301+5852	6.97907097	4.71E-13	3.3	-0.057	3.118	9.579	2.35E+05	5.80E+13	5.50E+31
915	J1819-1458	4.26321348	5.63E-13	3.301	0.005	0.911	5.327	1.20E+05	4.96E+13	2.90E+32
916	B0841+80	1.602227974	4.46E-16	3.304	1.724	2.073	10.41	5.69E+07	8.56E+11	4.30E+30
917	J1350-5115	0.295699706	7.58E-16	3.304	0.605	-2.405	6.317	6.18E+06	4.79E+11	1.20E+33
918	J1744-3130	1.066060871	2.12E-14	3.304	-0.061	-0.136	5.199	7.96E+05	4.81E+12	6.90E+32
919	J1536-5433	0.881438431	1.91E-15	3.306	0.057	-1.878	5.78	7.31E+06	1.31E+12	1.10E+32
920	J1538-5621	1.908494491	7.31E-15	3.313	-0.041	-1.919	5.799	4.14E+06	3.78E+12	4.20E+31
921	J1708-3506	0.004505159	1.14E-20	3.32	0.181	-0.549	5.231	6.25E+09	2.30E+08	4.90E+33
922	J1529-5611	0.822248731	4.10E-15	3.321	0.01	-1.967	5.824	3.18E+06	1.86E+12	2.90E+32
923	B1926+18	1.220470005	2.36E-15	3.324	0.027	2.684	6.539	8.19E+06	1.72E+12	5.10E+31
924	J1558-5756	1.122341686	1.86E-13	3.325	-0.209	-1.869	5.758	9.54E+04	1.46E+13	5.20E+33
925	J1843-0000	0.880334322	7.77E-15	3.328	0.103	1.763	5.679	1.79E+06	2.65E+12	4.50E+32
926	J1902+0723	0.487812628	2.10E-16	3.328	0.057	2.172	5.979	3.68E+07	3.24E+11	7.10E+31
927	B1740-31	2.414652315	1.21E-13	3.332	-0.067	-0.157	5.172	3.17E+05	1.73E+13	3.40E+32
928	J1820-0509	0.337320796	9.32E-16	3.333	0.262	1.392	5.483	5.73E+06	5.67E+11	9.60E+32
929	J1624-4411	0.233164076	7.99E-16	3.344	0.214	-1.246	5.404	4.62E+06	4.37E+11	2.50E+33
930	B1831-00	0.520954311	1.05E-17	3.352	0.218	1.713	5.627	7.84E+08	7.49E+10	2.90E+30
931	J1623-4949	0.725732155	4.21E-14	3.356	-0.013	-1.471	5.484	2.73E+05	5.59E+12	4.30E+33
932	J1651-7642	1.75531108	1.36E-15	3.361	-1.147	-2.228	6.26	2.04E+07	1.57E+12	9.90E+30
933	B1649-23	1.703739138	3.16E-15	3.369	0.727	-0.154	5.214	8.55E+06	2.35E+12	2.50E+31
934	B1910+20	2.232969028	1.02E-14	3.369	0.293	2.718	6.531	3.48E+06	4.82E+12	3.60E+31
935	J1509-5850	0.088924863	9.17E-15	3.372	-0.037	-2.169	5.918	1.54E+05	9.14E+11	5.10E+35
936	J1524-5625	0.078218549	3.90E-14	3.378	0.021	-2.033	5.802	3.18E+04	1.77E+12	3.20E+36
937	J1938+6604	0.022258801	1.95E-20	3.38	1.158	3.145	8.939	1.81E+10	6.66E+08	7.00E+31
938	J1031-6117	0.306410837	1.78E-15	3.383	-0.17	-3.233	7.519	2.72E+06	7.48E+11	2.40E+33
939	J1850+0124	0.003559764	1.09E-20	3.385	0.057	1.894	5.695	5.18E+09	1.99E+08	9.50E+33
940	J1627-5936	0.354233941	8.00E-18	3.391	-0.439	-1.815	5.669	7.02E+08	5.39E+10	7.10E+30
941	J1706-6118	0.361921325	2.92E-16	3.394	-0.714	-1.706	5.654	1.96E+07	3.29E+11	2.40E+32
942	B1859+07	0.643998664	2.29E-15	3.4	0.063	2.211	5.918	4.46E+06	1.23E+12	3.40E+32
943	J1907+0631	0.323648024	4.52E-13	3.4	-0.029	2.209	5.915	1.13E+04	1.22E+13	5.30E+35
944	J1834-1710	0.358306049	4.69E-17	3.405	-0.25	0.923	5.232	1.21E+08	1.31E+11	4.00E+31
945	J1758-2540	2.107263371	1.55E-15	3.41	-0.048	0.253	5.1	2.15E+07	1.83E+12	6.60E+30
946	J1603-2531	0.283071323	1.59E-15	3.412	1.166	-0.646	5.359	2.81E+06	6.80E+11	2.80E+33
947	B1844-04	0.597808754	5.17E-14	3.419	-0.056	1.651	5.507	1.83E+05	5.63E+12	9.60E+33
948	J1938+2213	0.166115573	4.24E-14	3.419	0.018	2.896	6.683	6.20E+04	2.69E+12	3.70E+35
949	J1244-5053	0.275207111	1.00E-15	3.422	0.71	-2.846	6.738	4.36E+06	5.31E+11	1.90E+33
950	J1705-3950	0.318941483	6.06E-14	3.426	0.043	-0.809	5.171	8.34E+04	4.45E+12	7.40E+34
951	J1538-5732	0.341212812	4.55E-15	3.428	-0.097	-2.021	5.733	1.19E+06	1.26E+12	4.50E+33
952	J1734-2415	0.61252374	1.05E-15	3.436	0.273	0.16	5.079	9.24E+06	8.12E+11	1.80E+32
953	J1548-4821	0.145654719	8.00E-19	3.439	0.285	-1.68	5.513	2.88E+09	1.09E+10	1.00E+31
954	J1705-4331	0.222561103	7.12E-17	3.441	-0.091	-0.981	5.203	4.95E+07	1.27E+11	2.50E+32
955	B1634-45	0.118773346	3.19E-15	3.442	0.046	-1.263	5.298	5.90E+05	6.23E+11	7.50E+34
956	J1607-6449	0.298116358	2.49E-17	3.444	-0.568	-2.094	5.825	1.90E+08	8.72E+10	3.70E+31
957	J1755-2521	1.175967877	9.02E-14	3.444	-0.009	0.256	5.066	2.07E+05	1.04E+13	2.20E+33
958	B1436-63	0.459606724	1.12E-15	3.446	-0.203	-2.447	6.083	6.50E+06	7.26E+11	4.60E+32
959	J1835-0114	0.005116388	7.00E-21	3.452	0.181	1.723	5.514	1.16E+10	1.92E+08	2.10E+33
960	J1730-3353	3.270241803	2.20E-14	3.46	0	-0.354	5.058	2.36E+06	8.57E+12	2.50E+31
961	J1738-2955	0.443425288	8.20E-14	3.46	0.044	-0.098	5.042	8.57E+04	6.10E+12	3.70E+34
962	J1547-5750	0.647197747	2.60E-17	3.464	-0.157	-2.001	5.677	4.01E+08	1.30E+11	3.70E+30
963	J1818-1556	0.952708903	7.06E-16	3.464	-0.014	0.902	5.155	2.14E+07	8.30E+11	3.20E+31
964	J1539-4828	1.2728416	1.27E-15	3.465	0.335	-1.754	5.531	1.59E+07	1.29E+12	2.40E+31
965	B1800-27	0.334415427	1.71E-17	3.466	-0.153	0.211	5.044	3.10E+08	7.66E+10	1.80E+31
966	J1843-1448	0.005471331	6.21E-21	3.472	-0.295	1.114	5.225	1.40E+10	1.87E+08	1.50E+33
967	J1907-1532	0.632235329	3.08E-15	3.475	-0.628	1.208	5.303	3.25E+06	1.41E+12	4.80E+32
968	J0057-7201	0.738062443	1.00E-16	3.476	-2.462	-2.075	7.191	1.17E+08	2.75E+11	9.80E+30
969	J1942+8106	0.203558453	3.69E-17	3.478	1.46	2.898	9.752	8.75E+07	8.77E+10	1.70E+32
970	J1616-5017	0.491384122	4.66E-14	3.48	0.018	-1.589	5.404	1.67E+05	4.84E+12	1.60E+34
971	J1142-6230	0.558383386	7.80E-17	3.483	-0.041	-3.154	7.022	1.13E+08	2.11E+11	1.80E+31
972	J1123-6102	0.640233748	6.46E-15	3.487	0.003	-3.221	7.165	1.57E+06	2.06E+12	9.70E+32
973	J1718-3825	0.074669921	1.32E-14	3.488	-0.026	-0.668	5.077	8.95E+04	1.01E+12	1.30E+36
974	B1727-33	0.139460211	8.48E-14	3.488	0.005	-0.357	5.03	2.60E+04	3.48E+12	1.20E+36
975	B1740-13	0.405336949	4.78E-16	3.495	0.499	0.76	5.125	1.34E+07	4.45E+11	2.80E+32
976	J1723-3659	0.202724899	8.03E-15	3.497	-0.025	-0.566	5.049	4.00E+05	1.29E+12	3.80E+34
977	B1937+21	0.001557807	1.05E-19	3.5	-0.018	2.952	6.62	2.35E+08	4.09E+08	1.10E+36
978	J1830-0131	0.152511958	2.11E-15	3.502	0.244	1.702	5.449	1.15E+06	5.73E+11	2.30E+34
979	J1946+2052	0.016960175	9.20E-19	3.51	-0.121	2.964	6.623	2.92E+08	4.00E+09	7.40E+33
980	B1015-56	0.50346262	3.14E-15	3.513	0.021	-3.427	7.726	2.54E+06	1.27E+12	9.70E+32
981	J1810-2005	0.032822245	1.47E-19	3.514	-0.034	0.643	5.046	3.53E+09	2.23E+09	1.60E+32
982	J1838+1523	0.549160602	2.03E-17	3.514	0.592	2.464	6.066	4.29E+08	1.07E+11	4.80E+30
983	J1548-4927	0.602738078	4.05E-15	3.518	0.239	-1.757	5.462	2.36E+06	1.58E+12	7.30E+32
984	B1609-47	0.382376722	6.34E-16	3.521	0.174	-1.51	5.324	9.56E+06	4.98E+11	4.50E+32
985	J1849-0614	0.953384188	5.39E-14	3.523	-0.152	1.608	5.369	2.80E+05	7.25E+12	2.50E+33
986	B1535-56	0.243395151	4.85E-15	3.536	-0.05	-2.047	5.617	7.95E+05	1.10E+12	1.30E+34
987	J1956+0838	0.303910924	2.20E-16	3.538	-0.634	2.599	6.184	2.19E+07	2.62E+11	3.10E+32
988	J1848+1516	2.233769775	1.68E-15	3.545	0.459	2.543	6.073	2.11E+07	1.96E+12	6.00E+30
989	J1504-5621	0.4129852	5.53E-15	3.548	0.114	-2.247	5.757	1.18E+06	1.53E+12	3.10E+33
990	J1431-5740	0.004110544	6.42E-21	3.554	0.165	-2.468	5.948	1.01E+10	1.64E+08	3.60E+33
991	J0943+2253	0.532974706	8.98E-17	3.555	2.619	-1.124	10.625	9.40E+07	2.21E+11	2.30E+31
992	B1937-26	0.402857909	9.56E-16	3.564	-1.325	0.795	5.288	6.68E+06	6.28E+11	5.80E+32
993	J1915+0752	2.058313789	1.39E-16	3.566	-0.1	2.414	5.877	2.35E+08	5.41E+11	6.30E+29
994	B0353+52	0.197030098	4.77E-16	3.571	-0.033	1.834	11.564	6.55E+06	3.10E+11	2.50E+33
995	B0611+22	0.334959966	5.94E-14	3.571	0.149	-0.546	12.026	8.93E+04	4.52E+12	6.20E+34
996	B1738-08	2.043082458	2.27E-15	3.571	0.7	1.021	5.15	1.42E+07	2.18E+12	1.10E+31
997	J0820-3921	1.073566584	1.22E-14	3.576	-0.099	-3.487	9.288	1.40E+06	3.66E+12	3.90E+32
998	J1601-5335	0.288479334	6.23E-14	3.576	-0.039	-1.845	5.437	7.33E+04	4.29E+12	1.00E+35
999	J2038-3816	1.577289085	4.16E-15	3.588	-2.146	0.193	5.631	6.00E+06	2.59E+12	4.20E+31
1000	J2216+5759	0.419102265	6.90E-14	3.588	0.069	3.488	9.339	9.62E+04	5.44E+12	3.70E+34
1001	B1813-26	0.592885191	6.65E-17	3.591	-0.307	0.325	4.937	1.41E+08	2.01E+11	1.30E+31
1002	J1055-6022	0.947558409	9.24E-14	3.597	-0.041	-3.399	7.323	1.62E+05	9.47E+12	4.30E+33
1003	J0146+6145	8.6889941	1.99E-12	3.6	-0.027	2.782	10.784	6.91E+04	1.33E+14	1.20E+32
1004	J1809-1943	5.540742829	2.83E-12	3.6	-0.01	0.67	4.963	3.10E+04	1.27E+14	6.60E+32
1005	B1900+05	0.746577356	1.29E-14	3.6	0.013	2.29	5.722	9.19E+05	3.14E+12	1.20E+33
1006	J1737-3102	0.768672273	3.73E-14	3.602	0.023	-0.17	4.902	3.26E+05	5.42E+12	3.20E+33
1007	J1842-0415	0.526682242	2.19E-14	3.605	0.007	1.697	5.32	3.80E+05	3.44E+12	5.90E+33
1008	B1823-13	0.101486794	7.53E-14	3.606	-0.043	1.114	5.071	2.14E+04	2.80E+12	2.80E+36
1009	J0836-4233	0.738435606	1.32E-15	3.609	-0.07	-3.569	9.031	8.86E+06	9.99E+11	1.30E+32
1010	B2148+52	0.332205672	1.01E-14	3.61	-0.058	3.578	8.972	5.21E+05	1.85E+12	1.10E+34
1011	J1835-0946	0.379536106	4.30E-17	3.633	-0.063	1.387	5.143	1.39E+08	1.30E+11	3.10E+31
1012	J2055+15	0.00216	2.02E-20	3.633	-1.159	3.057	6.915	1.70E+09	2.11E+08	7.90E+34
1013	J1836-1324	0.178756352	1.04E-15	3.638	-0.185	1.204	5.072	2.73E+06	4.36E+11	7.20E+33
1014	J1828-1057	0.246333257	2.07E-14	3.648	0.002	1.283	5.085	1.89E+05	2.28E+12	5.50E+34
1015	J0633-2015	3.253210838	3.82E-15	3.676	-0.825	-2.714	10.838	1.35E+07	3.57E+12	4.40E+30
1016	B1809-173	1.205374441	1.91E-14	3.678	0.035	0.834	4.918	1.00E+06	4.85E+12	4.30E+32
1017	J1910+0714	2.712422838	6.12E-15	3.679	-0.056	2.438	5.746	7.02E+06	4.12E+12	1.20E+31
1018	J1831-0952	0.067266846	8.32E-15	3.683	-0.008	1.374	5.083	1.28E+05	7.57E+11	1.10E+36
1019	J1822-4209	0.456511945	4.59E-16	3.687	-0.819	-0.508	4.941	1.58E+07	4.63E+11	1.90E+32
1020	B1821-19	0.189337441	5.24E-15	3.7	-0.201	0.786	4.89	5.73E+05	1.01E+12	3.00E+34
1021	B1933+16	0.358738411	6.00E-15	3.7	-0.135	2.931	6.246	9.47E+05	1.48E+12	5.10E+33
1022	J2346-0609	1.181463383	1.36E-15	3.704	-3.329	1.613	8.325	1.37E+07	1.28E+12	3.30E+31
1023	B1839-04	1.839944701	5.08E-16	3.711	0.011	1.762	5.234	5.74E+07	9.78E+11	3.20E+30
1024	J1741-2945	0.223557829	6.34E-16	3.714	0.025	-0.078	4.787	5.58E+06	3.81E+11	2.20E+33
1025	J0931-1902	0.004638029	3.63E-21	3.722	1.458	-3.238	9.615	2.02E+10	1.31E+08	1.40E+33
1026	J1757-2223	0.185310102	7.82E-16	3.727	0.063	0.456	4.802	3.75E+06	3.85E+11	4.90E+33
1027	J1811-2439	0.415812941	2.97E-16	3.734	-0.192	0.431	4.796	2.22E+07	3.56E+11	1.60E+32
1028	J1715-3903	0.278493947	3.74E-14	3.737	-0.021	-0.77	4.843	1.18E+05	3.27E+12	6.80E+34
1029	J1457-5900	1.498637437	3.66E-15	3.738	-0.002	-2.474	5.698	6.49E+06	2.37E+12	4.30E+31
1030	J1427-4158	0.586485556	6.21E-16	3.744	1.119	-2.225	5.705	1.50E+07	6.11E+11	1.20E+32
1031	J1734-3058	0.541285681	1.62E-17	3.744	0.058	-0.194	4.761	5.29E+08	9.48E+10	4.00E+30
1032	J0349+2340	2.420770978	1.10E-15	3.746	-1.487	0.748	11.856	3.49E+07	1.65E+12	3.10E+30
1033	B1552-23	0.532577741	6.94E-16	3.747	1.434	-0.694	5.108	1.22E+07	6.15E+11	1.80E+32
1034	J1609-4616	0.249608955	5.01E-16	3.747	0.26	-1.594	5.119	7.89E+06	3.58E+11	1.30E+33
